NAME,AB,ST,EHG,AP,CHCH,BC,CIM,PCI,DES,EST,LC,FA,CAA,CEXA,CHC,CHH,CAMG,COND,CECN,SEP,CE,BRE,ACC,COM,NOMS,T,LT,KM,FALLA,TIPO,DESC,OBS,CORR,Tipo falla
34,S5,S5,S5,S5,S5,S5,S4,S5,S5,S4,S5,S5,S5,S5,S4,S4,S5,S5,S5,S5,S5,S4,S5,S5,S2,0.934,93020,13.22,15/05/2015,B0= DESCARGA ATMOSFERICA,SE ENCONTRÓ FALMEO DE EVIDENCIA DEL ARCO ELÉCTRICO EN CADENA DE AISLAMIENTO DE LA FASE “A” EN LA ESTRUCTURA NO. 34.,,15/05/2015,1
51,S5,S5,S5,S5,S5,S5,S4,S5,S5,S4,S5,S5,S5,S5,S4,S4,S5,S5,S5,S5,S5,S4,S2,S5,S2,0.916,93020,19.93,01/04/2012,B0= DESCARGA ATMOSFERICA,"CADENA FLAMEADA EN ESTRUCTURA No. 51, FASE ""A"", POR DESCARGA ATMOSFERICA.",,01/04/2012,1
54,S5,S5,S5,S5,S5,S5,S4,S5,S5,S4,S5,S5,S5,S5,S4,S4,S5,S5,S5,S5,S5,S4,S2,S5,S2,0.916,93020,21.92,28/09/2012,B0= DESCARGA ATMOSFERICA,"CADENA FLAMEADA EN ESTRUCTURA No. 54, FASE ""B"", POR DESCARGA ATMOSFERICA.",,28/09/2012,1
2,S3,S5,S5,S5,S5,S5,S4,S5,S5,S4,S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,S4,S5,S5,S2,0.908,93680,0.5,04/05/2009,C0= VIENTOS FUERTES,"ARQUEO DEL CONDUCTOR DE LA FASE ""B"" A POSTE DE RETENIDA DE CIRCUITO DE DISTRIBUCION DE BAJA TENSION,  EN CLARO DE ESTRUCTURAS Nos. 2 Y 3, PROVOCADO POR FUERTES VIENTOS",,04/05/2009,2
37,S3,S5,S5,S5,S5,S5,S4,S5,S5,S4,S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,S4,S5,S5,S5,0.914,93610,17.3,13/08/2008,B0= DESCARGA ATMOSFERICA,"FUERTES LLUVIAS CON DESCARGAS ATMOSFERICAS AL MOMENTO DEL DISPARO CADENA DE AISLAMIENTO FLAMEADA EN LA FASE ""A""EN LA ESTRUCTURA No.23",,13/08/2008,1
59,S3,S5,S5,S5,S5,S5,S4,S5,S5,S4,S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,S4,S3,S5,S2,0.896,93100,43.3,10/04/2013,E2.3=EXTRAORDINARIA (ACCIDENTES),GRUA ACERCA PLUMA A CONDUCTOR ROMPIEDO DISTANCIA DIELECTRICA EN CLARO DE EST. Nos. 59 Y 60.,,10/04/2013,4
63,S3,S5,S5,S5,S5,S5,S4,S5,S5,S4,S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,S4,S3,S5,S2,0.896,93100,23.62,07/06/2015,A6= CONTAMINACION,"FLAMEO EN ESTRUCTURA No. 63 FASE ""C"" POR CONTANIMACIÓN POR ESCREMENTO DE AVE",,07/06/2015,5
115,S3,S5,S5,S5,S5,S5,S4,S5,S5,S4,S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,S4,S3,S5,S2,0.896,93100,42,31/08/2011,E2.1=EXTRAORDINARIA (VANDALISMO),"ESTA SALIDA FUE OCASIONADA POR FALLA PERMANENTE EN LA ESTRUCTURA NO. 115 (TENSIÓN DEFLEXIÓN), POR DAÑO (ROTOS) EN LOS AISLADORES DE VIDRIO DE LAS TRES FASES POR VANDALISMO.",,30/09/2011,6
116,S3,S5,S5,S5,S5,S5,S4,S5,S5,S4,S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,S4,S3,S5,S2,0.896,93100,43.3,14/04/2013,E2.2=EXTRAORDINARIA (FENOMENOS NATURALES),"DAÑO DE CADENA DE 17 AISLADORES DE VIDRIO, ESTRUCTURA No. 116, FASE ""A"" POR VANDALISMO.",,15/05/2013,7
165,S5,S5,S5,S5,S5,S5,S4,S5,S5,S4,S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,S4,S3,S0,S2,0.926,93100,63.67,04/08/2012,B0= DESCARGA ATMOSFERICA,"CADENA FLAMEADA EN ESTRUCTURA No. 165,TIPO HORIZONTAL, FASE ""C"" LATERAL.",,05/08/2012,1
